"State","EV","Bush/Cheney","Gore/Liberman","Nader/LaDuke","Buchanan/Foster","Browne/Olivier"
AL,9,931173,692611,18323,6351,5893
AK,3,167398,79004,28747,5192,2636
AZ,8,781652,685341,45645,12373,0
AR,6,472940,422768,13421,7358,2781
CA,54,4567429,5861203,418707,44987,45520
CO,8,883748,738227,91434,10465,12799
CT,8,561094,816015,64452,4731,3484
DE,3,137288,180068,8307,777,774
DC,3,18073,171923,10576,0,669
FL,25,2912790,2912253,97488,17484,16415
GA,13,1419720,1116230,13432,10926,36332
HI,4,137845,205286,21623,1071,1477
ID,4,336937,138637,12292,7615,3488
IL,22,2019421,2589026,103759,16106,11623
IN,12,1245836,901980,18531,16959,15530
IA,7,634373,638517,29374,5731,3209
KS,6,622332,339276,36086,7370,4525
KY,8,872492,638898,23192,4173,2896
LA,9,927871,792344,20473,14356,2951
ME,4,286616,319951,37127,4443,3074
MD,10,813797,1145782,53768,4248,5310
MA,12,878502,1616487,173564,11149,16366
MI,18,1953139,2170418,84165,1851,16711
MN,10,1109659,1168266,126696,22166,5282
MS,7,572844,404614,8122,2265,2009
MO,11,1189924,1111138,38515,9818,7436
MT,3,240178,137126,24437,5697,1718
NE,5,433862,231780,24540,3646,2245
NV,4,301575,279978,15008,4747,3311
NH,4,273559,266348,22198,2615,2757
NJ,15,1284173,1788850,94554,6989,6312
NM,5,286417,286783,21251,1392,2058
NY,33,2403374,4107697,244030,31599,7649
NC,14,1631163,1257692,0,8874,12307
ND,3,174852,95284,9486,7288,660
OH,21,2351209,2186190,117857,26724,13475
OK,8,744337,474276,0,9014,6602
OR,7,713577,720342,77357,7063,7447
PA,23,2281127,2485967,103392,16023,11248
RI,4,130555,249508,25052,2273,742
SC,8,785937,565561,20200,3519,4876
SD,3,190700,118804,0,3322,1662
TN,11,1061949,981720,19781,4250,4284
TX,32,3799639,2433746,137994,12394,23160
UT,5,515096,203053,35850,9319,3616
VT,3,119775,149022,20374,2192,784
VA,13,1437490,1217290,59398,5455,15198
WA,11,1108864,1247652,103002,7171,13135
WV,5,336475,295497,10680,3169,1912
WI,11,1237279,1242987,94070,11471,6640
WY,3,147947,60481,4625,2724,1443
