"State","EV","Bush/Cheney","Kerry/Edwards","Nader/Camejo","Badnarik/Campagna"
AL,9,1176394,693933,6701,3495
AK,3,190889,111025,5069,1675
AZ,10,1104294,893524,0,11856
AR,6,572770,468631,6287,2359
CA,55,5509826,6745485,19218,50165
CO,9,1101255,1001732,0,7664
CT,7,693766,857434,0,0
DE,3,171660,200152,0,0
DC,3,21256,202970,1485,502
FL,27,3964522,3583544,0,11996
GA,15,1914254,1366149,0,18387
HI,4,194184,231691,0,1377
ID,4,409235,181098,0,3844
IL,21,2346608,2891989,3674,32452
IN,11,1479438,969011,1328,18058
IA,7,751957,741898,0,2992
KS,6,736456,434993,0,4013
KY,8,1069439,712733,8856,2619
LA,9,1102169,820299,0,0
ME,4,330201,396842,8069,1965
MD,10,1024703,1334493,11854,6094
MA,12,1071109,1803800,4806,15022
MI,17,2313746,2479178,24035,10552
MN,10,1346695,1445014,18683,4639
MS,6,684981,458094,3177,1793
MO,11,1455713,1259171,1294,9831
MT,3,266063,173710,0,1733
NE,5,512814,254328,5698,2041
NV,5,418690,397190,0,0
NH,4,331237,340511,0,0
NJ,15,1668003,1911430,19418,4514
NM,5,376930,370942,4053,2382
NY,31,2962567,4314280,0,11607
NC,15,1961166,1525849,0,11731
ND,3,196651,111052,3756,851
OH,20,2859764,2741165,0,14676
OK,7,959792,503966,0,0
OR,7,866831,943163,0,7260
PA,21,2793847,2938095,0,21185
RI,4,169046,259760,0,0
SC,8,937974,661699,5520,3608
SD,3,232584,149244,4320,964
TN,11,1384375,1036477,8992,4866
TX,34,4526917,2832704,9153,38787
UT,5,663742,241199,0,0
VT,3,121180,184067,4494,1102
VA,13,1716959,1454742,0,0
WA,11,1304894,1510201,23283,11955
WV,5,423778,326541,4063,1405
WI,10,1478120,1489504,16390,6464
WY,3,167629,70776,2741,1171
