"State","EV","Obama/Biden","McCain/Palin","Barr/Root","McKinney/Clemente","Nader/Gonzalez"
AL,9,813479,1266546,4310,4991,0,6788
AK,3,123594,193841,1660,1589,0,3783
AZ,10,1034707,1230111,1371,12555,3406,11301
AR,6,422310,638017,4023,4776,3470,12882
CA,55,8274473,5011781,3145,67582,38774,10883
CO,9,1288576,1073589,6233,10897,2822,13350
CT,7,997763,629428,311,0,90,19162
DE,3,255459,152374,626,1109,385,2401
DC,3,245800,17367,0,0,590,958
FL,27,4282074,4045624,7915,17218,2887,28124
GA,15,1844137,2048744,0,28812,0,0
HI,4,325871,120566,1013,1314,979,3825
ID,4,236440,403012,4747,3658,0,7175
IL,21,3419673,2031527,0,19645,11838,30952
IN,11,1374039,1345648,1024,29257,87,909
IA,7,828940,682379,4445,4590,1423,8014
KS,6,514765,699655,4148,6706,0,10527
KY,8,751985,1048462,4694,5989,0,15378
LA,9,782989,1148275,2581,0,9187,6997
ME,4,421923,295273,177,251,2900,10636
MD,10,1629467,959862,3760,9842,4747,14713
MA,12,1904097,1108854,4971,13189,6550,28841
MI,17,2872579,2048639,14685,23716,8892,33085
MN,10,1573354,1275409,6787,9174,5174,30152
MS,6,554662,724597,2551,2529,1034,4011
MO,11,1441911,1445814,8201,11386,80,17813
MT,3,231667,242763,10638,1355,0,3686
NE,5,333319,452979,2972,2740,1028,5406
NV,5,533736,412827,3194,4263,1411,6150
NH,4,384826,316534,0,2217,0,3503
NJ,15,2215422,1613207,3956,8441,3636,21298
NM,5,472422,346832,1597,2428,1552,5327
NY,31,4610809,2409077,163262,19513,12729,0
NC,15,2142651,2128474,0,25722,0,0
ND,3,141278,168601,1199,1354,0,4189
OH,20,2933388,2674491,12550,19555,8513,42288
OK,7,502496,960165,0,0,0,0
OR,7,1037291,738475,7693,7635,4543,18614
PA,21,3276363,2651812,0,19812,0,44397
RI,4,296571,165391,675,1382,797,4829
SC,8,862449,1034896,6827,7283,4461,5053
SD,3,170924,203054,1895,1835,0,4267
TN,11,1087437,1479178,8191,8547,2499,11560
TX,34,3528633,4479328,5052,56116,671,5214
UT,5,327670,596030,12012,6966,0,0
VT,3,219262,98974,500,1067,0,3339
VA,13,1959532,1725005,7474,11067,2344,11483
WA,11,1750848,1229216,9432,12728,3819,29489
WV,5,303857,397466,2465,0,2355,7219
WI,10,1677211,1262393,5072,8858,4216,17605
WY,3,82868,164958,1192,1594,0,2525
