"State","EV","Obama/Biden","Romney/Ryan","Johnson/Gray","Stein/Honkala"
AK,3,122640,164676,7392,2917
AL,9,795696,1255925,12328,3397
AR,6,394409,647744,16276,9305
AZ,11,1025232,1233654,32100,7816
CA,55,7854285,4839958,143221,85638
CO,9,1322998,1185050,35540,7508
CT,7,905083,634892,12580,863
DC,3,267070,21381,2083,2458
DE,3,242584,165484,3882,1940
FL,29,4237756,4163447,44726,8947
GA,16,1773827,2078688,45324,0
HI,4,306658,121015,3840,3184
IA,6,822544,730617,12926,3769
ID,4,212787,420911,9453,4402
IL,20,3019512,2135216,56229,30222
IN,11,1152887,1420543,50111,625
KS,6,440726,692634,20456,0
KY,8,679370,1087190,17063,6337
LA,8,809141,1152262,18157,6978
MA,11,1921290,1188314,30920,20691
MD,10,1677844,971869,30195,17110
ME,4,401306,292276,9352,8119
MI,16,2564569,2115256,7774,21897
MN,10,1546167,1320225,35098,13023
MO,10,1223796,1482440,43151,0
MS,6,562949,710746,6676,1588
MT,3,201839,267928,14165,0
NC,15,2178391,2270395,44515,0
ND,3,124966,188320,5238,1362
NE,5,302081,475064,11109,0
NH,4,369561,329918,8212,0
NJ,14,2122786,1478088,21035,9886
NM,5,415335,335788,27787,2691
NV,6,531373,463567,10968,0
NY,29,4018385,2145628,45200,37826
OH,18,2827621,2661407,49493,18574
OK,7,443547,891325,0,0
OR,7,970488,754175,24089,19427
PA,20,2990274,2680434,49441,21341
RI,4,279677,157204,4388,2421
SC,9,865941,1071645,16321,5446
SD,3,145039,210610,5795,0
TN,11,960709,1462330,18623,6515
TX,38,3308124,4569843,88580,24657
UT,6,251813,740600,12572,3817
VA,13,1971820,1822522,31216,8627
VT,3,199239,92698,3487,0
WA,12,1755396,1290670,42202,20928
WI,10,1620985,1407966,20439,7665
WV,5,238230,417584,6114,4593
WY,3,69286,170962,5326,0
