"State","EV","Clinton/Kaine","Trump/Pence","Stein/Baraka","Johnson/Weld","McMullin/Finn"
"AK",3,116454,163387,5735,18725
"AL",9,718084,1306925,9287,43869
"AR",6,378729,677904,9837,29518
"AZ",11,936250,1021154,25255,80151
"CA",55,7362490,3916209,220312,402406
"CO",9,1208095,1136354,33009,129128
"CT",7,897572,673215,22841,48676
"DC",3,260223,11553,3995,4501
"DE",3,235581,185103,6100,14751
"FL",29,4485745,4605515,64019,206007
"GA",16,1837300,2068623,0,123641
"HI",4,266891,128847,12737,15954
"IA",6,650790,798923,11119,57322
"ID",4,189677,407199,8464,28256
"IL",20,2977498,2118179,74112,204491
"IN",11,1033126,1557286,7841,133993
"KS",6,414788,656009,22698,53648
"KY",8,628834,1202942,13913,53749
"LA",8,780154,1178638,14031,37978
"MA",11,1995196,1090893,47661,138018
"MD",10,1497951,873646,31839,71107
"ME",4,357735,335593,13905,38105
"MI",16,2268193,2279805,50700,173057
"MN",10,1366676,1322891,36957,112944
"MO",10,1054889,1585753,25086,96404
"MS",6,462001,678457,3580,13789
"MT",3,174521,274120,7669,27264
"NC",15,2189316,2362631,12105,130126
"ND",3,93758,216794,3780,21434
"NE",5,273858,485819,8346,37615
"NH",4,348526,345790,6496,30777
"NJ",14,2021756,1535513,35949,68695
"NM",5,385234,319667,9879,74541
"NV",6,537753,511319,0,37299
"NY",29,4528423,2819533,107935,28132
"OH",18,2317001,2771984,44310,168599
"OK",7,420375,949136,0,93481
"OR",7,934631,742506,45132,86306
"PA",20,2844705,2912941,48912,142653
"RI",4,262525,180543,6220,14746
"SC",9,849469,1143611,12917,48715
"SD",3,117442,227701,0,20845
"TN",11,867110,1517402,15919,70084
"TX",38,3867816,4681590,71307,282524
"UT",6,274188,462086,7695,33142,207268
"VA",13,1916845,1731156,27272,121660,52914
"VT",3,178573,95369,6758,10078
"WA",12,1742718,1221747,58417,160879,0
"WI",10,1382210,1409467,30980,106442,0
"WV",5,187457,486198,8000,22798,0
"WY",3,55973,174419,2515,13287,0
